mall_name,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
100 AM,100 AM,100,TRAS STREET,100 AM,100 TRAS STREET 100 AM SINGAPORE 079027,079027,29131.8164707171,28573.4721462838,1.27468281482263,103.843488359469,103.843488359469
313 Somerset,313 @ SOMERSET,313,ORCHARD ROAD,313 @ SOMERSET,313 ORCHARD ROAD 313 @ SOMERSET SINGAPORE 238895,238895,28561.1386390822,31485.0772309396,1.30101436404056,103.838360664485,103.838360664485
Aperia,APERIA,8,KALLANG AVENUE,APERIA,8 KALLANG AVENUE APERIA SINGAPORE 339509,339509,31406.7146015475,32574.5211833753,1.31086672816827,103.863929573292,103.863929573292
Balestier Hill Shopping Centre,BALESTIER HILL SHOPPING CENTRE,2A,BALESTIER ROAD,BALESTIER HILL SHOPPING CENTRE,2A BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 321002,321002,29159.9587036697,34265.8946909029,1.32616307866261,103.843741438467,103.843741438467
Bugis Cube,BUGIS CUBE,470,NORTH BRIDGE ROAD,BUGIS CUBE,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,188735,30483.6570850834,31167.3475166354,1.2981408343975,103.855635339249,103.855635339249
Bugis Junction,BUGIS JUNCTION,200,VICTORIA STREET,BUGIS JUNCTION,200 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188021,188021,30458.7085178969,31274.8305191435,1.29911287475873,103.855411173758,103.855411173758
Bugis+,BUGIS BACKPACKERS HOSTEL,162B,ROCHOR ROAD,BUGIS BACKPACKERS HOSTEL,162B ROCHOR ROAD BUGIS BACKPACKERS HOSTEL SINGAPORE 188437,188437,30432.1584716914,31478.1598162092,1.30095171530648,103.855172625542,103.855172625542
Capitol Piazza,CAPITOL PIAZZA,13,STAMFORD ROAD,CAPITOL PIAZZA,13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905,178905,29996.9452433269,30607.61522354,1.29307884763132,103.851261982149,103.851261982149
Cathay Cineleisure Orchard,CATHAY CINELEISURE ORCHARD,8,GRANGE ROAD,CATHAY CINELEISURE ORCHARD,8 GRANGE ROAD CATHAY CINELEISURE ORCHARD SINGAPORE 239695,239695,28346.2346228976,31541.100151198,1.30152101873533,103.836429655016,103.836429655016
Central Mall,CENTRAL MALL,3,MAGAZINE ROAD,CENTRAL MALL,3 MAGAZINE ROAD CENTRAL MALL SINGAPORE 059570,059570,29020.0801506015,30129.3543239105,1.2887536712464,103.842484418198,103.842484418198
Centrepoint,THE CENTREPOINT,176,ORCHARD ROAD,THE CENTREPOINT,176 ORCHARD ROAD THE CENTREPOINT SINGAPORE 238843,238843,28716.7630815674,31591.6722616088,1.30197836876806,103.839759023144,103.839759023144
City Square Mall,CITY SQUARE MALL,180,KITCHENER ROAD,CITY SQUARE MALL,180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539,208539,30593.6748798871,32635.8044067919,1.31142103107683,103.856624019991,103.856624019991
City Gate,CITY GATE,371,BEACH ROAD,CITY GATE,371 BEACH ROAD CITY GATE SINGAPORE 199597,199597,31228.8929515947,31629.0129348133,1.30231590504573,103.862331661034,103.862331661034
CityLink Mall,CITYLINK MALL,1,RAFFLES LINK,CITYLINK MALL,1 RAFFLES LINK CITYLINK MALL SINGAPORE 039393,039393,30320.972393252,30574.3218035102,1.2927777312893,103.854173501417,103.854173501417
