name,name_zh,name_json,source,layer,lat,lon
JURONG EAST MRT STATION (EW24 / NS1),裕廊东地铁,"[""NS1"", ""Jurong East MRT""]",onemap,venue,1.33315281585758,103.742286332403
BUKIT BATOK MRT STATION (NS2),武吉巴督地铁,"[""NS2"", ""Bukit Batok MRT""]",onemap,venue,1.34903331201636,103.749566478309
BUKIT GOMBAK MRT STATION (NS3),武吉甘柏地铁,"[""NS3"", ""Bukit Gombak MRT""]",onemap,venue,1.35861159094192,103.751790910733
CHOA CHU KANG MRT STATION (NS4),蔡厝港地铁,"[""NS4"", ""Choa Chu Kang MRT""]",onemap,venue,1.38536316540225,103.744370779756
YEW TEE MRT STATION (NS5),油池地铁,"[""NS5"", ""Yew Tee MRT""]",onemap,venue,1.39753506936297,103.747405150236
KRANJI MRT STATION (NS7),克兰芝地铁,"[""NS7"", ""Kranji MRT""]",onemap,venue,1.42508698073648,103.762137459497
MARSILING MRT STATION (NS8),马西岭地铁,"[""NS8"", ""Marsiling MRT""]",onemap,venue,1.43252114855026,103.774074641403
WOODLANDS MRT STATION (TE2),兀兰地铁,"[""NS9"", ""Woodlands MRT""]",onemap,venue,1.43605761708128,103.787938777173
ADMIRALTY MRT STATION (NS10),海军部地铁,"[""NS10"", ""Admiralty MRT""]",onemap,venue,1.44058856161847,103.800990519771
SEMBAWANG MRT STATION (NS11),三巴旺地铁,"[""NS11"", ""Sembawang MRT""]",onemap,venue,1.44905082158502,103.820046140211
CANBERRA MRT STATION (NS12),坎 贝 拉地铁,"[""NS12"", ""Canberra MRT""]",onemap,venue,1.44307664075699,103.829702590959
YISHUN MRT STATION (NS13),义顺地铁,"[""NS13"", ""Yishun MRT""]",onemap,venue,1.42944308477331,103.835005047246
KHATIB MRT STATION (NS14),卡迪地铁,"[""NS14"", ""Khatib MRT""]",onemap,venue,1.41738337009565,103.832979908243
YIO CHU KANG MRT STATION (NS15),杨厝港地铁,"[""NS15"", ""Yio Chu Kang MRT""]",onemap,venue,1.38175587099132,103.84494727118
