name,source,layer,lat,lon
100 AM,onemap,venue,1.27468281482263,103.843488359469
313 @ SOMERSET,onemap,venue,1.30101436404056,103.838360664485
APERIA,onemap,venue,1.31086672816827,103.863929573292
BALESTIER HILL SHOPPING CENTRE,onemap,venue,1.32616307866261,103.843741438467
BUGIS CUBE,onemap,venue,1.2981408343975,103.855635339249
BUGIS JUNCTION,onemap,venue,1.29911287475873,103.855411173758
BUGIS BACKPACKERS HOSTEL,onemap,venue,1.30095171530648,103.855172625542
CAPITOL PIAZZA,onemap,venue,1.29307884763132,103.851261982149
CATHAY CINELEISURE ORCHARD,onemap,venue,1.30152101873533,103.836429655016
CENTRAL MALL,onemap,venue,1.2887536712464,103.842484418198
THE CENTREPOINT,onemap,venue,1.30197836876806,103.839759023144
CITY SQUARE MALL,onemap,venue,1.31142103107683,103.856624019991
CITY GATE,onemap,venue,1.30231590504573,103.862331661034
CITYLINK MALL,onemap,venue,1.2927777312893,103.854173501417
DUO GALLERIA,onemap,venue,1.29953434891664,103.85840168774
FAR EAST PLAZA,onemap,venue,1.30717698071189,103.833792932243
FUNAN,onemap,venue,1.29134759697794,103.849989790085
GREAT WORLD CITY,onemap,venue,1.29342272650003,103.832022146655
HDB HUB,onemap,venue,1.33201387005935,103.84984949662
HOLLAND ROAD SHOPPING CENTRE,onemap,venue,1.31027747574118,103.795371163103
ION ORCHARD,onemap,venue,1.30397974144505,103.832032328465
JUNCTION 8 SHOPPING CENTRE,onemap,venue,1.3504812534505,103.848760473211
KNIGHTSBRIDGE,onemap,venue,1.3029831225958,103.836283923443
LIAT TOWERS,onemap,venue,1.30508722710852,103.830722581168
LUCKY PLAZA,onemap,venue,1.30450604646634,103.833962339817
MARINA BAY SANDS,onemap,venue,1.28345419690844,103.860809048956
THE SHOPPES AT MARINA BAY SANDS,onemap,venue,1.28423496027027,103.858982282698
MARINA BAY FINANCIAL CENTRE (TOWER 3),onemap,venue,1.27912493489912,103.854457600432
MARINA BAY LINK MALL,onemap,venue,1.28023825446086,103.853369662547
MARINA ONE EAST TOWER,onemap,venue,1.27790635042143,103.852851669795
MARINA SQUARE,onemap,venue,1.29185533273026,103.85857808906
MILLENIA WALK,onemap,venue,1.29260544462492,103.859724944443
MUSTAFA CENTRE,onemap,venue,1.31011213190394,103.855290873926
NGEE ANN CITY,onemap,venue,1.30224168528687,103.835181912297
ORCHARD CENTRAL,onemap,venue,1.30083890839245,103.839434733899
ORCHARD GATEWAY,onemap,venue,1.30044325279546,103.839442780042
ORCHARD PLAZA,onemap,venue,1.30125729409965,103.841150144584
MIDPOINT ORCHARD,onemap,venue,1.30178778502846,103.838659766022
PALAIS RENAISSANCE,onemap,venue,1.30665484543191,103.829588045188
PEOPLE'S PARK CENTRE,onemap,venue,1.28577009981805,103.843980122838
PEOPLE'S PARK COMPLEX,onemap,venue,1.28413397178419,103.842519972666
PLAZA SINGAPURA,onemap,venue,1.30074770963916,103.845047573431
GR.ID,onemap,venue,1.30010826723486,103.849264127911
RAFFLES CITY SHOPPING CENTRE,onemap,venue,1.29389357863312,103.853119904656
SCOTTS SQUARE,onemap,venue,1.30579942993543,103.833074706219
SERANGOON PLAZA,onemap,venue,1.31078075190145,103.855146819671
SHAW HOUSE,onemap,venue,1.30580981580562,103.831507365654
SIM LIM SQUARE,onemap,venue,1.3030242605718,103.853037814067
SINGAPORE SHOPPING CENTRE,onemap,venue,1.29815265394505,103.844111318107
SOUTH BEACH,onemap,venue,1.29578101285494,103.856177264026
SQUARE 2,onemap,venue,1.32070510956845,103.844160709661
SUNSHINE PLAZA,onemap,venue,1.30046735366415,103.850556061949
SUNTEC CITY MALL,onemap,venue,1.29593189477195,103.859014406736
TANGLIN MALL,onemap,venue,1.30484344196915,103.823852794772
DBS TANGS ORCHARD,onemap,venue,1.30495005564842,103.832971130126
TANJONG PAGAR CENTRE,onemap,venue,1.27658360696843,103.845936303594
ZHUJIAO CENTRE (TEKKA MARKET),onemap,venue,1.30617773048079,103.850609985486
ADELPHI PARK ESTATE,onemap,venue,1.35474944653942,103.829596951438
PARAGON MEDICAL,onemap,venue,1.30418212572574,103.835940962553
TIONG BAHRU PLAZA,onemap,venue,1.28645889472825,103.827015256194
THE POIZ CENTRE,onemap,venue,1.33149708073624,103.86821402533
THOMSON PLAZA,onemap,venue,1.35466902496424,103.830919782333
UNITED SQUARE,onemap,venue,1.31719450988559,103.843611443038
VELOCITY @ NOVENA SQUARE,onemap,venue,1.31929542501907,103.844191353077
WHEELOCK PLACE,onemap,venue,1.30467628730252,103.830642027577
WISMA ATRIA,onemap,venue,1.30370477426147,103.833205752808
ZHONGSHAN MALL,onemap,venue,1.32694504456951,103.846554377679
CENTURY SQUARE,onemap,venue,1.35236829566862,103.943812302253
TAMPINES PLAZA 1,onemap,venue,1.35270160272274,103.942903567808
TAMPINES MALL,onemap,venue,1.35252737278519,103.944698751072
OUR TAMPINES HUB,onemap,venue,1.35313359828812,103.940408135311
CHANGI AIRPORT BUS TERMINAL 1,onemap,venue,1.36129123176598,103.99060554697
CHANGI CITY POINT,onemap,venue,1.33403637902708,103.962917615531
DOWNTOWN EAST,onemap,venue,1.37691412455433,103.955036748549
DJITSUN MALL BEDOK,onemap,venue,1.32611970329469,103.929554495615
EASTPOINT MALL,onemap,venue,1.34270592355576,103.953024618234
BEDOK MALL,onemap,venue,1.32473632784728,103.929256259998
JEET'S LITTLE LEARNERS (BEDOK) PTE. LTD.,onemap,venue,1.33054849915481,103.947778439395
PAYA LEBAR SQUARE,onemap,venue,1.31881487007651,103.892580778514
SINGAPORE POST CENTRE,onemap,venue,1.31899666903663,103.894894915962
PLQ MALL,onemap,venue,1.31756115921,103.892836694432
KINEX,onemap,venue,1.31461849889242,103.894738004768
KATONG SHOPPING CENTRE,onemap,venue,1.3040973115095,103.901515916971
ROXY SQUARE,onemap,venue,1.30432599904899,103.904051120306
UOB I12 KATONG AUTOLOBBY,onemap,venue,1.30522306203042,103.905043928938
PARKWAY PARADE,onemap,venue,1.30106975506311,103.905279491524
WHITE SANDS,onemap,venue,1.37244981663527,103.949715694737
CITY PLAZA,onemap,venue,1.3147868971977,103.893472115119
KATONG SQUARE,onemap,venue,1.30513510179213,103.904307160288
KATONG V,onemap,venue,1.30385030375719,103.902850370889
KALLANG WAVE MALL,onemap,venue,1.30307515150401,103.873149707591
LEISURE PARK KALLANG,onemap,venue,1.30230108405227,103.876473975883
ELIAS MALL,onemap,venue,1.37782876616465,103.942364336974
LOYANG POINT,onemap,venue,1.36707357525622,103.964632225014
JEWEL CHANGI AIRPORT,onemap,venue,1.3603410066102,103.98907755021
888 PLAZA,onemap,venue,1.43712301500434,103.795314383823
ADMIRALTY PLACE,onemap,venue,1.43938615380542,103.801706470491
AMK HUB,onemap,venue,1.36938922690344,103.84847796594
CANBERRA PLAZA,onemap,venue,1.44349544527985,103.830345369213
CAUSEWAY POINT,onemap,venue,1.4360700650803,103.785981524253
WOODLANDS CIVIC CENTRE,onemap,venue,1.43501829566013,103.786930895956
BROADWAY PLAZA,onemap,venue,1.37193729131781,103.845949444498
