name,name_json,source,layer,lat,lon
ADMIRALTY PRIMARY SCHOOL,"[""ADMIRALTY PRIMARY SCHOOL""]",onemap,venue,1.4426347903311,103.800040119743
ADMIRALTY SECONDARY SCHOOL,"[""ADMIRALTY SECONDARY SCHOOL""]",onemap,venue,1.44589068910993,103.802398196596
AHMAD IBRAHIM PRIMARY SCHOOL,"[""AHMAD IBRAHIM PRIMARY SCHOOL""]",onemap,venue,1.43315271543517,103.832942401086
AHMAD IBRAHIM SECONDARY SCHOOL,"[""AHMAD IBRAHIM SECONDARY SCHOOL""]",onemap,venue,1.43605975368804,103.829718690077
AI TONG SCHOOL,"[""AI TONG SCHOOL""]",onemap,venue,1.3605834338904,103.833020333986
ALEXANDRA PRIMARY SCHOOL,"[""ALEXANDRA PRIMARY SCHOOL""]",onemap,venue,1.29133439161334,103.824424680531
ANCHOR GREEN PRIMARY SCHOOL,"[""ANCHOR GREEN PRIMARY SCHOOL""]",onemap,venue,1.39036998654612,103.887165375933
ANDERSON PRIMARY SCHOOL,"[""ANDERSON PRIMARY SCHOOL""]",onemap,venue,1.38426429436736,103.841392081119
ANDERSON SECONDARY SCHOOL,"[""ANDERSON SECONDARY SCHOOL""]",onemap,venue,1.37434001701177,103.851554107068
ANDERSON SERANGOON JUNIOR COLLEGE,"[""ANDERSON SERANGOON JUNIOR COLLEGE""]",onemap,venue,1.37894408046934,103.845760935132
ANG MO KIO PRIMARY SCHOOL,"[""ANG MO KIO PRIMARY SCHOOL""]",onemap,venue,1.36932176584608,103.839630858752
ANG MO KIO SECONDARY SCHOOL,"[""ANG MO KIO SECONDARY SCHOOL""]",onemap,venue,1.36733710171069,103.842154973672
ANGLICAN HIGH SCHOOL,"[""ANGLICAN HIGH SCHOOL""]",onemap,venue,1.33118107926966,103.941853465631
ANGLO-CHINESE JUNIOR COLLEGE,"[""ANGLO-CHINESE JUNIOR COLLEGE""]",onemap,venue,1.30304255193392,103.785358436408
ANGLO-CHINESE SCHOOL (BARKER ROAD),"[""ANGLO-CHINESE SCHOOL (BARKER ROAD)""]",onemap,venue,1.31961649151328,103.835772689988
ANGLO-CHINESE SCHOOL (INDEPENDENT),"[""ANGLO-CHINESE SCHOOL (INDEPENDENT)""]",onemap,venue,1.30370409257783,103.780363417671
ANGLO-CHINESE SCHOOL (JUNIOR),"[""ANGLO-CHINESE SCHOOL (JUNIOR)""]",onemap,venue,1.30935122626928,103.84095509189
ANGLO-CHINESE SCHOOL (PRIMARY),"[""ANGLO-CHINESE SCHOOL (PRIMARY)""]",onemap,venue,1.31837054523521,103.835609732354
ANGSANA PRIMARY SCHOOL,"[""ANGSANA PRIMARY SCHOOL""]",onemap,venue,1.34855287558648,103.951808105552
ASSUMPTION ENGLISH SCHOOL,"[""ASSUMPTION ENGLISH SCHOOL""]",onemap,venue,1.36838160662857,103.766687526556
ASSUMPTION PATHWAY SCHOOL,"[""ASSUMPTION PATHWAY SCHOOL""]",onemap,venue,1.3696707043227,103.765959130581
BARTLEY SECONDARY SCHOOL,"[""BARTLEY SECONDARY SCHOOL""]",onemap,venue,1.33995415587811,103.882806211705
BEACON PRIMARY SCHOOL,"[""BEACON PRIMARY SCHOOL""]",onemap,venue,1.38394936211823,103.773632022975
BEATTY SECONDARY SCHOOL,"[""BEATTY SECONDARY SCHOOL""]",onemap,venue,1.34177065605301,103.852285636043
BEDOK GREEN PRIMARY SCHOOL,"[""BEDOK GREEN PRIMARY SCHOOL""]",onemap,venue,1.32344593287992,103.937878976352
BEDOK GREEN SECONDARY SCHOOL,"[""BEDOK GREEN SECONDARY SCHOOL""]",onemap,venue,1.33451947288431,103.935028383346
BEDOK SOUTH SECONDARY SCHOOL,"[""BEDOK SOUTH SECONDARY SCHOOL""]",onemap,venue,1.32513655159184,103.950989139261
BEDOK VIEW SECONDARY SCHOOL,"[""BEDOK VIEW SECONDARY SCHOOL""]",onemap,venue,1.32415704029686,103.943776245024
BENDEMEER PRIMARY SCHOOL,"[""BENDEMEER PRIMARY SCHOOL""]",onemap,venue,1.32181250780475,103.865404167629
BENDEMEER SECONDARY SCHOOL,"[""BENDEMEER SECONDARY SCHOOL""]",onemap,venue,1.32461111307996,103.860970284401
BLANGAH RISE PRIMARY SCHOOL,"[""BLANGAH RISE PRIMARY SCHOOL""]",onemap,venue,1.27612047924037,103.808628535239
BOON LAY GARDEN PRIMARY SCHOOL,"[""BOON LAY GARDEN PRIMARY SCHOOL""]",onemap,venue,1.34317853793318,103.713280889452
BOON LAY SECONDARY SCHOOL,"[""BOON LAY SECONDARY SCHOOL""]",onemap,venue,1.34272216334333,103.701891453912
BOWEN SECONDARY SCHOOL,"[""BOWEN SECONDARY SCHOOL""]",onemap,venue,1.37035994436209,103.877659577677
BROADRICK SECONDARY SCHOOL,"[""BROADRICK SECONDARY SCHOOL""]",onemap,venue,1.30705061123433,103.886917922608
